商品名,説明,価格,税率,在庫数,公開状態,表示順
STAY OUT OF THE KITCHEN!,ボレーに夢中でキッチンに入っちゃう、あの瞬間。警告標識風のスポーティなデザインで「入るな！」を主張。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,1
IT'S MY PARTNER'S FAULT.,自分のミスは棚に上げ、パートナーがミスすると無言で圧をかける…ダブルスあるあるの極み。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,2
LET! BALL ON!,白熱したラリー中に隣コートからボールが転がり込んでくる、あの独特の空気感。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,3
Don't interrupt my dink.,ディンク練習中に隣コートのボールと空中衝突。真剣な練習を邪魔しないで。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,4
0-0-START,ピックルボールのスコアコールの始まり。この3つの数字を聞くとアドレナリンが出る。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,5
Third Shot Drop Expert*,「*自称」の小さな注釈付き。3rdショットドロップが得意だと思い込んでいるあなたへ。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,6
KITCHEN POLICE,キッチン違反を見逃さない正義の味方。コート上のルール番人を自認するあなたに。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,7
DINK RESPONSIBLY,「責任あるディンクを」— ビールの警告文風のウィットに富んだデザイン。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,8
"I came for the exercise, stayed for the drama",運動のつもりで始めたのに、気づいたらコート上のドラマに夢中。ピックルボールの社交性を表現。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,9
My DUPR doesn't define me,レーティングに一喜一憂する日々。でも大事なのは楽しむこと…たぶん。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,10
DINK OR DIE,ディンクするか、死ぬか。ネット際の攻防を制するプレイヤーのための一着。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,11
KITCHEN CERTIFIED,キッチンを制する者がゲームを制す。認定バッジ風の誇り高いデザイン。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,12
NET GAME. NO MERCY.,ネット際の攻防に容赦なし。アグレッシブなプレースタイルを宣言するデザイン。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,13
EAT. SLEEP. DINK. REPEAT.,食べて、寝て、ディンクして、繰り返す。ピックルボール漬けのライフスタイル。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,14
DROP IT LIKE IT'S HOT,Snoop Doggの名曲をピックルボール流に。サードショットドロップを決める瞬間。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,15
キッチン入ってないです,明らかに入ってるのにしらばっくれる名言。日本のピックルボールコートで最も聞く言い訳。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,16
ディンク修行中,まだまだ未熟だけど、日々精進。ディンクの道は長い。修行僧のように黙々と。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,17
パートナー募集中,大会に出たいけどペアがいない。このTシャツを着てコートに行けば話しかけてもらえるかも。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,18
ピクラーです。,シンプルに宣言。「ピクラー」= ピックルボーラーの日本語愛称。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,19
今日もピクる。,「ピクる」= ピックルボールをする、の造語動詞。毎日ピクりたい人のための一着。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,20
ミニマルパドル,パドルのシルエットだけで伝わる、ピックルボーラーの証。洗練されたミニマルアート。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,21
コートブループリント,ピックルボールコートの設計図。建築図面風のインテリジェントなデザイン。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,22
浮世絵ピックルボール,葛飾北斎の大波にピックルボールが乗る。和風×ピックルボールのアートフュージョン。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,23
ネオンピックル,夜のネオンサイン風。バーの看板のようなレトロフューチャーなピックルボールデザイン。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,24
PIKURA ORIGINAL,pikura.appオリジナルブランドTシャツ。シンプルなロゴデザインでピックルボール愛を表現。ポリエステル100% 吸水速乾ドライ素材。,4000,10,999,1,25